"Temperature, K","Pressure, kPa","Viscosity, Pas",salt_name
283.09,101.325,0.976 ± 0.067,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
283.09,101.325,0.977 ± 0.067,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
283.1,101.325,0.99 ± 0.068,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
283.1,101.325,0.991 ± 0.069,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
283.1,101.325,0.993 ± 0.069,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
288.13,101.325,0.693 ± 0.045,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
288.13,101.325,0.694 ± 0.045,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
288.13,101.325,0.698 ± 0.045,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
288.13,101.325,0.699 ± 0.045,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
293.07,101.325,0.503 ± 0.03,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
293.07,101.325,0.503 ± 0.03,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
293.07,101.325,0.505 ± 0.03,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
293.07,101.325,0.505 ± 0.03,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
293.07,101.325,0.506 ± 0.031,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
298.15,101.325,0.336 ± 0.019,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
298.15,101.325,0.337 ± 0.019,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
303.15,101.325,0.256 ± 0.013,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
303.15,101.325,0.256 ± 0.013,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
303.15,101.325,0.256 ± 0.013,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
303.15,101.325,0.256 ± 0.013,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
303.15,101.325,0.256 ± 0.013,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
303.15,101.325,0.257 ± 0.013,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
