,NAME_CAT,SMILE_cation,NAME_ANI,SMILE_anion,T,P,Viscosity,Reference
1,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,278.15,101.325,0.03251,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
2,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,283.15,101.325,0.02667,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
3,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,288.15,101.325,0.02223,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
4,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,293.15,101.325,0.01879,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
5,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,298.15,101.325,0.01609,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
6,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,303.15,101.325,0.01392,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
7,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,308.15,101.325,0.01216,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
8,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,313.15,101.325,0.01072,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
9,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,318.15,101.325,0.00952,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
10,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,323.15,101.325,0.00852,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
11,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,328.15,101.325,0.007673,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
12,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,333.15,101.325,0.006951,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
13,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,338.15,101.325,0.006327,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
14,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,343.15,101.325,0.005788,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
15,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,348.15,101.325,0.005319,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
16,1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C, dicyanamide,C(#N)[N-]C#N,353.15,101.325,0.004909,"Neves, C. M. S. S.; Kurnia, K. A.; Coutinho, J. A. P.; Marrucho, I. M.; Lopes, J. N. C.; Freire, M. G.; Rebelo, L. P. N. (2013) J. Phys. Chem. B 117, 10271-10283."
