"Density_kg/m, Experimental","Density_kg/m, Prediction on epsilon=0.0001","Density_kg/m, Prediction on epsilon=0.01",Salt Name,Temperature_K,Pressure_kPa
7.152738596900803,7.15462601016758,7.154469026312043,1-ethyl-3-methylimidazolium thiocyanate,318.15,8000.0
7.1331363252365385,7.133004871614243,7.142891524894348,1-ethyl-3-methylimidazolium tetrafluoroborate,303.15,101.325
7.112938504919354,7.113136479905308,7.1221974108596156,1-ethyl-3-methylimidazolium tetrafluoroborate,313.15,20000.0
7.165493475060845,7.165599618080004,7.155926122201469,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,333.15,101.325
7.017058013872587,7.018336902952197,7.022516870019991,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,298.15,101.325
7.25148681728494,7.251544479539926,7.242486823700886,1-ethyl-3-methylimidazolium ethyl sulfate,320.65,101.325
7.373499851307489,7.373177264284438,7.379920220502738,1-ethyl-3-methylimidazolium ethyl sulfate,303.15,101.325
7.1278542001101215,7.117435088862827,7.120409382678284,1-ethyl-3-methylimidazolium ethyl sulfate,323.15,35000.0
7.147323208710489,7.14621028104509,7.13971021281362,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,300.0,101.325
7.131778443323355,7.132221507250365,7.133186824802764,1-ethyl-3-methylimidazolium tetrafluoroborate,311.554,19542.0
7.1003736412534595,7.101690188122103,7.10533139956242,1-ethyl-3-methylimidazolium hexafluorophosphate,432.6,60000.0
7.310550158534422,7.311078786632554,7.309588784249949,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,323.15,101.325
7.148424357162165,7.148934643049093,7.148685680260327,1-ethyl-3-methylimidazolium tetrafluoroborate,313.15,101.325
7.374001859350161,7.392175825549587,7.377636712744343,1-ethyl-3-methylimidazolium ethyl sulfate,328.15,20000.0
7.133455559078037,7.135101355226653,7.134231174203832,1-ethyl-3-methylimidazolium ethyl sulfate,373.15,45000.0
6.977840886548825,6.977610560254987,6.984263147456718,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,323.15,101.325
7.119829793925439,7.120991972754649,7.123001440179286,1-ethyl-3-methylimidazolium tetrafluoroborate,308.15,101.325
7.261927092702751,7.261636246057301,7.262467312666096,1-ethyl-3-methylimidazolium ethyl sulfate,373.36,1000.0
7.117286602876485,7.1182069858454,7.120474877579396,1-ethyl-3-methylimidazolium ethyl sulfate,333.15,101.325
7.280008252884188,7.292698455259996,7.297984792506727,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,101.325
7.1252830915107115,7.12557653351166,7.132016621136766,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,101.0
7.139263746627974,7.132439767487747,7.141699270708467,1-ethyl-3-methylimidazolium ethyl sulfate,305.65,5000.0
7.174800876583475,7.174644191090384,7.165939764319672,1-ethyl-3-methylimidazolium hexafluorophosphate,472.4,90000.0
7.123511611862329,7.123428427066387,7.1282344972475995,1-ethyl-3-methylimidazolium methanesulfonate,353.2,101.325
7.1127348596686755,7.112669746241209,7.115384151346129,1-ethyl-3-methylimidazolium acetate,338.15,101.0
7.086152478883935,7.085988142327282,7.090708137739188,1-ethyl-3-methylimidazolium tetrafluoroborate,432.9,90000.0
7.1252830915107115,7.123980686532087,7.125721640251995,1-ethyl-3-methylimidazolium methylsulfate,350.15,101.325
7.10085190894405,7.101690188122103,7.10533139956242,1-ethyl-3-methylimidazolium ethyl sulfate,300.65,35000.0
7.107589260860723,7.107713595836402,7.116802518778473,1-ethyl-3-methylimidazolium tetrafluoroborate,323.15,6000.0
7.115582126184454,7.121036605207213,7.118558614455662,1-ethyl-3-methylimidazolium ethyl sulfate,295.65,101.325
7.12068686521993,7.114952868488292,7.1238691316407206,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,323.15,10000.0
7.232444077063014,7.233489333306069,7.225994995626869,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,5000.0
7.145274996240854,7.146103969469013,7.14577481956049,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,283.19,49993.0
7.080026499922591,7.079343210121714,7.087112664515142,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,313.15,29996.0
7.120630288819548,7.120991972754649,7.123001440179286,1-ethyl-3-methylimidazolium methylsulfate,338.15,101.325
7.126890808898808,7.105377536998878,7.114073472548126,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,318.0,101.325
7.159843851980127,7.159677274561193,7.153364031364908,1-ethyl-3-methylimidazolium acetate,298.15,101.0
7.3293561689997055,7.328698844814341,7.323297242525675,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,313.15,7500.0
7.124639280125202,7.124169570137632,7.133093625225707,1-ethyl-3-methylimidazolium ethyl sulfate,354.15,101.325
7.149916836132109,7.150003175241812,7.144235195364734,1-ethyl-3-methylimidazolium thiocyanate,298.15,10000.0
7.156621156452128,7.15647481383981,7.150401046588966,1-ethyl-3-methylimidazolium ethyl sulfate,353.15,15000.0
