name,smiles,steiger,Marsili Partial Charges,BalabanJ,BertzCT,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,MolLogP,MolMR,MolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,RingCount,TPSA,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,Topliss fragments
tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.7849350649350635,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549874,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0
hexafluorophosphate,F[P-](F)(F)(F)(F)F,777.0,777.0,4.4312936752559775,62.74506838420408,4.1417094500762905,0.009999999999999952,7.01,0.6695585177281324,966414.0100000087,6.408248290463862,2.4494897427831783,2.7150004335553217,1.0141851056742195,0.9583148474999094,0.0,0.0,3.6094276245552375,3.0425553170226602,2.87494454249973,0.0,0.0,3.3824,13.568000000000005,144.96200000000005,7.0,144.96200000000005,0.0,0.0,0.0,0.0,7.0,0.0,48.0,0.0,0.0,34.355936634923424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.98994288087755,25.181433797066852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.808509083810692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.181433797066852,0.0,7.808509083810692,7.808509083810692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.181433797066852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.194444444444436,-10.657407407407408,0.0,777.0
tetracyanoborate,N#C[B-](C#N)(C#N)C#N,777.0,777.0,4.837063250486345,205.39388572785725,93.40990953421708,-1.9750649350649352,7.0249350649350655,2.362273752973799,0.9711962359124192,7.328427124746192,4.242640687119286,4.366204651189458,2.049127729379168,1.3824231832787612,0.7745966692414833,0.17320508075688776,4.366204651189458,2.049127729379168,1.3824231832787612,0.7745966692414833,0.17320508075688776,-0.3136800000000001,28.206000000000003,114.884,9.0,114.884,0.0,4.0,4.0,0.0,5.0,0.0,40.0,0.0,95.16,52.06270013328306,0.0,0.0,21.047566218953946,0.0,23.874292326040443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.145991148478288,0.0,21.047566218953946,0.0,0.0,0.0,0.0,0.0,0.0,23.874292326040443,6.145991148478288,0.0,6.145991148478288,0.0,44.92185854499439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.145991148478288,0.0,0.0,0.0,23.874292326040443,0.0,0.0,0.0,21.047566218953946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,777.0
bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,777.0,777.0,5.284512595565851,384.73280282552736,484.0282471077866,-0.56,14.44,3.4820710327037574,3.2013717107945334,12.707106781186548,6.207106781186547,6.164490176338497,2.573956747828322,1.916149757364012,0.7812358639519638,0.21369778673036371,7.797483338193951,5.454083405429602,5.338520010449137,3.5212179306960687,1.9232800805732733,1.0593,33.3086,280.147,15.0,280.147,0.0,5.0,4.0,0.0,13.0,2.0,92.0,0.0,82.38,79.16881952822177,4.127401124897844,0.0,16.835593968657875,26.34249028604892,0.0,0.0,0.0,0.0,0.0,0.0,20.046582306815168,0.0,0.0,11.01666100252851,43.178084254706796,0.0,0.0,0.0,11.01666100252851,0.0,4.127401124897844,0.0,0.0,20.046582306815168,0.0,27.852254971186387,20.046582306815168,0.0,0.0,0.0,0.0,4.127401124897844,0.0,26.34249028604892,0.0,0.0,31.063243309343683,0.0,0.0,4.127401124897844,0.0,0.0,0.0,0.0,0.0,43.178084254706796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.1825,-12.406111111111114,-13.443055555555553,777.0
dicyanamide,C(#N)[N-]C#N,777.0,777.0,2.8572716834371317,70.04663563528787,11.245112497836532,-1.22,3.78,2.780000000000001,2.7800000000000016,4.121320343559642,2.4142135623730954,2.3416407864998736,0.8944271909999159,0.3118033988749895,0.1,0.02236067977499789,2.3416407864998736,0.8944271909999159,0.3118033988749895,0.1,0.02236067977499789,0.32226,14.585,66.043,5.0,66.043,0.0,3.0,2.0,0.0,3.0,0.0,24.0,0.0,61.68,29.439214688771628,10.523783109476973,5.316788604006331,0.0,0.0,0.0,0.0,0.0,12.386312191557678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.523783109476973,0.0,0.0,0.0,0.0,5.316788604006331,0.0,12.386312191557678,0.0,0.0,0.0,0.0,22.91009530103465,0.0,0.0,0.0,5.316788604006331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.386312191557678,0.0,0.0,5.316788604006331,10.523783109476973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,777.0
trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],777.0,777.0,4.534784710193742,163.45778174805406,21.30605883387173,-0.30000000000000004,7.7,1.5902038132807366,1.6635354736424897,7.0,3.25,3.266886580883134,1.2710708547457723,0.8998648844607837,0.2834733547569204,0.0,4.0833831618108585,2.679319145209635,2.271023224810922,0.8504200642707613,0.0,0.0514,15.7522,149.069,8.0,149.069,0.0,3.0,3.0,0.0,7.0,0.0,50.0,0.0,57.2,42.864493246648884,4.552749873690363,0.0,8.417796984328938,13.17124514302446,0.0,0.0,0.0,0.0,0.0,0.0,10.118126859033556,0.0,0.0,5.508330501264255,26.141792001043765,0.0,0.0,0.0,5.508330501264255,0.0,0.0,0.0,0.0,10.118126859033556,0.0,18.478877359283555,10.118126859033556,0.0,0.0,0.0,0.0,0.0,0.0,13.17124514302446,0.0,0.0,15.626457360297811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.970546858019302,13.17124514302446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.90277777777778,-5.645833333333334,-6.090277777777778,777.0
methanesulfonate,CS(=O)(=O)[O-],777.0,777.0,4.062942298971397,90.06147084052891,3.6096404744368114,-0.09000000000000005,4.909999999999998,0.9479551135045996,1760.9964197530844,4.5,2.0,2.6329931618554525,0.9082482904638632,0.7041241452319318,0.0,0.0,3.4494897427831783,2.724744871391589,2.1123724356957947,0.0,0.0,-0.8385999999999998,15.621200000000002,95.09899999999999,5.0,92.075,0.0,3.0,3.0,0.0,4.0,0.0,32.0,0.0,57.2,30.367887037870172,4.552749873690363,0.0,8.417796984328938,0.0,0.0,0.0,0.0,6.255769183511404,10.118126859033556,0.0,0.0,0.0,0.0,0.0,12.970546858019302,0.0,0.0,0.0,0.0,6.255769183511404,0.0,0.0,0.0,10.118126859033556,0.0,19.2263160415307,10.118126859033556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.118126859033556,0.0,6.255769183511404,0.0,0.0,0.0,0.0,0.0,12.970546858019302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.22916666666667,0.6041666666666665,-3.9166666666666665,777.0
tetrachloroferrate,Cl[Fe-](Cl)(Cl)Cl,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,1.6794805194805196,6.679480519480519,2.1088234169691926,27.260366390508388,4.5,2.0,1.8654112826301827,0.5345224838248487,0.3030457633656632,0.0,0.0,5.9933116498220524,6.611677980232076,11.245407225773079,0.0,0.0,2.7555,23.412,197.657,5.0,197.657,0.0,0.0,0.0,0.0,5.0,0.0,37.0,0.0,0.0,49.469948259501706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.590288014305116,9.198256733636855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.392031280668256,0.0,0.0,9.198256733636855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.392031280668256,9.198256733636855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.392031280668256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.194444444444443,777.0
methylsulfate,COS(=O)(=O)[O-],777.0,777.0,3.8506216389836685,109.50977500432694,12.164797036380529,-0.13000000000000006,5.87,1.5453875784214643,3.870000000000001,5.207106781186548,2.5606601717798214,3.041241452319316,1.07491495713053,0.57491495713053,0.2041241452319316,0.0,3.8577380332470415,2.408248290463863,1.7247448713915894,0.6123724356957946,0.0,-0.9069999999999998,16.7062,111.09799999999998,6.0,108.07399999999998,0.0,4.0,4.0,0.0,5.0,1.0,38.0,0.0,66.43,35.69043614343508,4.552749873690363,4.183085432649707,8.417796984328938,0.0,0.0,0.0,0.0,0.0,7.1097975412775325,0.0,0.0,10.399000581649606,0.0,0.0,17.15363229066901,0.0,0.0,0.0,0.0,7.1097975412775325,0.0,0.0,0.0,10.399000581649606,0.0,20.080344399296838,14.582086014299314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.399000581649606,0.0,0.0,7.1097975412775325,0.0,0.0,0.0,4.183085432649707,0.0,12.970546858019302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.02083333333333,0.8078703703703705,-4.412037037037036,777.0
triflate,C(F)(F)(F)S(=O)(=O)[O-],777.0,777.0,4.534784710193742,163.45778174805406,21.30605883387173,-0.30000000000000004,7.7,1.5902038132807366,1.6635354736424897,7.0,3.25,3.266886580883134,1.2710708547457723,0.8998648844607837,0.2834733547569204,0.0,4.0833831618108585,2.679319145209635,2.271023224810922,0.8504200642707613,0.0,0.0514,15.7522,149.069,8.0,149.069,0.0,3.0,3.0,0.0,7.0,0.0,50.0,0.0,57.2,42.864493246648884,4.552749873690363,0.0,8.417796984328938,13.17124514302446,0.0,0.0,0.0,0.0,0.0,0.0,10.118126859033556,0.0,0.0,5.508330501264255,26.141792001043765,0.0,0.0,0.0,5.508330501264255,0.0,0.0,0.0,0.0,10.118126859033556,0.0,18.478877359283555,10.118126859033556,0.0,0.0,0.0,0.0,0.0,0.0,13.17124514302446,0.0,0.0,15.626457360297811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.970546858019302,13.17124514302446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.90277777777778,-5.645833333333334,-6.090277777777778,777.0
