name,smiles
tetrafluoroborate,[B-](F)(F)(F)F
hexafluorophosphate,F[P-](F)(F)(F)(F)F
tetracyanoborate,N#C[B-](C#N)(C#N)C#N
bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
dicyanamide,C(#N)[N-]C#N
trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-]
methanesulfonate,CS(=O)(=O)[O-]
tetrachloroferrate,Cl[Fe-](Cl)(Cl)Cl
methylsulfate,COS(=O)(=O)[O-]
triflate,C(F)(F)(F)S(=O)(=O)[O-]
iodide,[I-]
tricyanomethane,C(#N)[C-](C#N)C#N
thiocyanate,C(#N)[S-]
acetate,CC(=O)[O-]
decanoate,CCCCCCCCCC(=O)[O-]
chloride,[Cl-]
bromide,[Br-]
"bis(2,4,4-trimethylpentyl)phosphinate",CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-]
tricyanomethanide,C(=C(C#N)C#N)=[N-]
"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
bis(trifluoromethanesulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
dimethylphosphate,COP(=O)([O-])OC
pentanoate,CCCCC(=O)[O-]
butanoate,CCCC(=O)[O-]
propionate,CCC(=O)[O-]
formate,C(=O)[O-]
diethylphosphate,CCOP(=O)([O-])OCC
p-toluenesulfonate,Cc1ccc(cc1)S(=O)(=O)[O-]
perchlorate,[O-]Cl(=O)(=O)=O
dicyanoazanide,C(=[N-])=NC#N
cyanocyanamide,C(#N)[N-]C#N
oleate,CCCCCCCC/C=C\CCCCCCCC(=O)[O-]
4-ethyloctanoate,CCCCC(CC)CCC(=O)[O-]
4-nitroimidazolide,c1c(nc[n-]1)[N+](=O)[O-]
4-nitropyrazolide,c1c(cn[n-]1)[N+](=O)[O-]
2-hydroxy-3-morpholinopropanesulfonate,C1COCCN1CC(CS(=O)(=O)[O-])O
2-(bis(2-hydroxyethyl)amino)ethanesulfonate,C(CO)N(CCO)CCS(=O)(=O)[O-]
tetrazolide,c1nnn[n-]1
"4,5-dicyanoimidazolide",c1[n-]c(c(n1)C#N)C#N
"1,2,3-triazolide",c1cnn[n-]1
nitrate,[N+](=O)([O-])[O-]
hexanoate,CCCCCC(=O)[O-]
hexylphosphonate,[O-]P(=O)([O-])CCCCCC
ethylphosphonate,[O-]P([O-])(=O)CC
butylphosphonate,[O-]P([O-])(=O)CCCC
octylphosphonate,O=P([O-])([O-])CCCCCCCC
