name,smiles,steiger,Marsili Partial Charges,BalabanJ,BertzCT,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,MolLogP,MolMR,MolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,RingCount,TPSA,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,Topliss fragments
2-aminoethanol,[NH3+]CCO,777.0,777.0,1.9747448713915894,8.0,6.854752972273345,-0.08,3.9200000000000004,2.92,1.9199999999999995,3.414213562373095,1.914213562373095,2.5685339390596003,1.3162277660168376,0.5771601883432526,0.15811388300841892,0.0,2.5685339390596003,1.3162277660168376,0.5771601883432526,0.15811388300841892,0.0,-1.7793999999999999,14.840900000000001,62.092000000000006,4.0,54.028,4.0,2.0,1.0,2.0,2.0,1.0,26.0,0.0,47.870000000000005,25.238317591434885,10.84019487200289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.151638370425493,0.0,0.0,0.0,0.0,0.0,10.84019487200289,0.0,0.0,0.0,0.0,13.151638370425493,0.0,0.0,0.0,0.0,5.733667477162185,18.2581657652662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,6.544756405912575,0.0,0.0,0.0,0.0,5.733667477162185,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,777.0
"choline,",OCC[N+](C)(C)C,777.0,777.0,3.154490065368808,46.532068975639476,18.14170945007629,-0.08,6.92,2.28455463728191,5.920000000000001,5.914213562373095,3.060660171779821,5.308640753373011,2.474096318533549,2.737537680050345,0.7708203932499367,0.2999999999999999,5.308640753373011,2.474096318533549,2.737537680050345,0.7708203932499367,0.2999999999999999,-0.31510000000000016,29.98519999999998,104.17299999999999,7.0,90.06099999999999,1.0,2.0,1.0,1.0,2.0,2.0,44.0,0.0,20.23,44.96305839441069,9.58955825253533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.749897912544487,6.544756405912575,0.0,0.0,0.0,0.0,9.58955825253533,0.0,0.0,0.0,0.0,34.29465431845706,0.0,0.0,0.0,0.0,0.0,43.88421257099239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,0.0,11.027787263607198,0.0,0.0,0.0,21.143015948031568,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84375,15.65625,0.0,777.0
4-hexyl-4-methylmorpholinium,CCCC(CC[N+]1(C)CCOCC1),777.0,777.0,2.099065207168225,130.05196853082393,915.5309025721822,-0.08,10.997399380804952,5.608353829448752,4.097310553347975,9.571067811865477,6.26776695296637,9.21942291664275,5.6803539439266455,4.463356692026002,3.1024202853320113,1.9276455646267554,9.21942291664275,5.6803539439266455,4.463356692026002,3.1024202853320113,1.9276455646267554,2.0435,55.74640000000005,186.31899999999996,13.0,162.12699999999998,0.0,2.0,1.0,0.0,2.0,5.0,78.0,1.0,9.23,82.46619140457197,9.219893811494673,0.0,0.0,0.0,0.0,19.765380445542643,12.841643245852019,0.0,26.8061923176156,13.08951281182515,0.0,0.0,0.0,0.0,9.219893811494673,0.0,0.0,0.0,32.60702369139466,39.89570512944075,0.0,0.0,0.0,0.0,0.0,44.37873598713537,4.736862953800049,0.0,32.60702369139466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,49.80058656713638,0.0,0.0,13.971409182367815,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.239795918367347,21.26020408163265,0.0,777.0
tributyloctylphosphonium,[P+](CCCC)(CCCC)(CCCC)(CCCCCCCC),777.0,777.0,4.275642703170893,178.24065768983047,36506.477185835145,0.43,21.429999999999996,15.330468272123765,11.627118618877999,15.813708498984765,10.242640687119286,15.760922094484723,10.09333818881354,7.064495102245979,4.944035690507798,3.3789363135399673,16.65534928548464,12.623160316948244,11.536631057245554,10.0036799467772,8.576148768840078,7.764800000000008,104.4880000000001,315.5460000000001,21.0,271.19399999999996,0.0,0.0,0.0,0.0,1.0,16.0,128.0,0.0,0.0,136.75773166173425,0.0,0.0,0.0,0.0,0.0,72.64070015924457,32.10410811463005,7.262479190532857,24.647640109871684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.74480827387463,24.647640109871684,0.0,0.0,0.0,7.262479190532857,0.0,24.647640109871684,0.0,0.0,104.74480827387463,0.0,0.0,0.0,0.0,0.0,0.0,7.262479190532857,7.262479190532857,0.0,0.0,0.0,77.04985947511214,24.647640109871684,0.0,27.694948798762496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.80555555555556,0.0,777.0
tributylmethylphosphonium,[P+](CCCC)(CCCC)(CCCC)(C),777.0,777.0,3.889782594894758,98.62953293041048,1049.4439443432075,0.43,14.429999999999998,8.715381811278245,6.8207438060960595,10.86396103067893,6.681980515339465,10.811174626178888,6.517217237110113,4.850984256330208,3.1545055121055277,1.9549138879254184,11.705601817178803,9.309011024211056,9.431632425430983,7.3421961927569415,5.864741663776255,5.034100000000004,72.16900000000007,217.35699999999994,14.0,187.11699999999996,0.0,0.0,0.0,0.0,1.0,9.0,86.0,0.0,0.0,92.20313686095797,0.0,0.0,0.0,0.0,0.0,40.0336764678499,19.26246486877803,13.927304794765393,18.485730082403762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.296141336627926,25.1505556866363,0.0,0.0,0.0,7.262479190532857,0.0,25.1505556866363,0.0,0.0,59.296141336627926,0.0,0.0,0.0,0.0,0.0,0.0,7.262479190532857,7.262479190532857,0.0,0.0,0.0,38.524929737556064,18.485730082403762,0.0,27.43603720330441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.305555555555554,0.0,777.0
1-(2-cyanoethyl)-3-hexyl-1H-imidazol-3-ium,CCCCCC[n+]1cc[n](c1)CCC#N,777.0,777.0,2.2381786340212546,308.912287745285,3470.700942582061,-1.3,11.772992700729928,7.0530366343462205,4.641140796067541,10.932875131431278,7.363703305156275,9.523439062374587,5.782851393885455,3.858039241466288,2.4979222708742057,1.603541902183424,9.523439062374587,5.782851393885455,3.858039241466288,2.4979222708742057,1.603541902183424,2.2695800000000004,58.999000000000045,206.31299999999996,15.0,186.153,0.0,3.0,2.0,0.0,3.0,7.0,82.0,1.0,32.599999999999994,91.95721320568661,0.0,0.0,9.13419929558271,5.261891554738487,0.0,19.765380445542643,12.841643245852019,0.0,19.03479934163086,18.93844354913873,0.0,6.3273200747645415,0.0,0.0,4.567099647791355,5.261891554738487,4.567099647791355,0.0,52.11735812614582,0.0,18.721007217990696,0.0,6.069221312792274,0.0,4.567099647791355,4.567099647791355,13.08951281182515,11.33111286753076,39.02784531432067,18.721007217990696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,13.08951281182515,25.683286491704038,0.0,6.196843571613076,34.65132145444323,5.261891554738487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.273883928571429,26.72611607142857,0.0,777.0
"1-but-1-enyl-2,3-dimethylimidazolium",CCCC[n+]1cc[n](c1(C))C,777.0,777.0,2.630825004028496,225.46664681220207,382.8385387635239,-0.79,8.307943192948091,3.5574623232348133,1.8220661079652816,8.267584713501616,5.253218857624055,7.670448072938811,4.2674928510309575,3.0032088269309583,2.148888738817986,1.1636124335515647,7.670448072938811,4.2674928510309575,3.0032088269309583,2.148888738817986,1.1636124335515647,1.42112,45.25300000000002,153.24899999999997,11.0,136.113,0.0,2.0,1.0,0.0,2.0,3.0,62.0,1.0,8.809999999999999,68.46980718102807,0.0,0.0,9.13419929558271,0.0,0.0,13.344558822616634,6.4208216229260096,6.923737199690624,13.592428388589765,12.393687143226153,0.0,0.0,5.824404497999927,0.0,4.567099647791355,0.0,4.567099647791355,7.04767198267719,33.23387405114585,0.0,18.21809164122608,0.0,0.0,0.0,4.567099647791355,4.567099647791355,13.592428388589765,6.923737199690624,25.58978494354257,12.393687143226153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912575,18.666047743851948,0.0,0.0,42.4230328208673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.443611111111111,15.723055555555558,0.0,777.0
1-butyl-2-methylpyridinium,CCCC[n+]1ccc(cc1)C,777.0,777.0,2.51863794324683,200.61769139965662,358.71869776560686,-0.8500000000000001,8.248522167487685,4.117027384036986,2.705089707817086,8.104448006685086,5.32569850269549,7.377935015818105,4.283749262554001,2.966872424702947,1.8276718887547148,1.0216182694027172,7.377935015818105,4.283749262554001,2.966872424702947,1.8276718887547148,1.0216182694027172,2.08262,46.282000000000025,150.24499999999998,11.0,134.117,0.0,1.0,0.0,0.0,1.0,3.0,60.0,1.0,3.88,68.68573315902184,0.0,0.0,4.567099647791355,0.0,0.0,13.344558822616634,12.487188691387619,18.55355575984923,0.0,6.544756405912575,12.393687143226153,0.0,0.0,0.0,4.567099647791355,0.0,0.0,0.0,33.23387405114585,0.0,30.089872771846366,0.0,0.0,0.0,4.567099647791355,0.0,6.544756405912575,6.923737199690624,25.328831937239638,24.52642128014937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912575,18.405094737549014,0.0,0.0,42.94099532732197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.232638888888889,17.93402777777778,0.0,777.0
trihexyltetradecylphosphonium,C[n+]1cc[nH]c1,777.0,777.0,3.049648321313926,109.10850553448522,33.548875021634686,-0.79,3.401938579654511,1.1248871618940932,0.4065428987063098,4.405777393935816,2.893846850117352,3.679264403068835,1.8742949775172395,1.2769729547012085,0.6840687825708702,0.3642369399559537,3.679264403068835,1.8742949775172395,1.2769729547012085,0.6840687825708702,0.3642369399559537,-0.16080000000000022,21.968699999999995,83.11399999999999,6.0,76.05799999999999,1.0,2.0,0.0,1.0,2.0,0.0,32.0,1.0,19.669999999999998,36.43512512244971,0.0,4.9839785209472085,4.567099647791355,0.0,0.0,0.0,0.0,0.0,7.04767198267719,12.393687143226153,0.0,6.3273200747645415,0.0,0.0,4.567099647791355,0.0,4.9839785209472085,7.04767198267719,0.0,0.0,18.721007217990696,0.0,0.0,0.0,4.567099647791355,4.9839785209472085,7.04767198267719,0.0,0.0,18.721007217990696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.335778848459235,4.9839785209472085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9444444444444444,10.555555555555555,0.0,777.0
1-ethyl-3-methyl-1H-imidazolium,CC[n+]1cn(cc1)C,777.0,777.0,2.8375414305653286,166.79139338038127,92.21698662121833,-0.79,5.348696255201109,1.9872284056064253,0.8858300949406248,5.983127663125442,3.825698502695489,5.33358477975534,2.836677035025321,1.9095287650191402,1.1888811306045146,0.6887728987459062,5.33358477975534,2.836677035025321,1.9095287650191402,1.1888811306045146,0.6887728987459062,0.3325,31.281999999999982,111.16799999999998,8.0,100.07999999999998,0.0,2.0,1.0,0.0,2.0,1.0,44.0,1.0,8.809999999999999,49.37498083783825,0.0,0.0,9.13419929558271,0.0,0.0,0.0,6.923737199690624,0.0,13.592428388589765,12.393687143226153,0.0,6.3273200747645415,0.0,0.0,4.567099647791355,0.0,4.567099647791355,7.04767198267719,13.4684936056032,0.0,18.721007217990696,0.0,0.0,0.0,4.567099647791355,4.567099647791355,13.592428388589765,0.0,6.923737199690624,18.721007217990696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912575,0.0,0.0,17.811615202081622,24.0150004938596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15625,11.34375,0.0,777.0
