name,smiles
2-aminoethanol,[NH3+]CCO
"choline,",OCC[N+](C)(C)C
4-hexyl-4-methylmorpholinium,CCCC(CC[N+]1(C)CCOCC1)
tributyloctylphosphonium,[P+](CCCC)(CCCC)(CCCC)(CCCCCCCC)
tributylmethylphosphonium,[P+](CCCC)(CCCC)(CCCC)(C)
1-(2-cyanoethyl)-3-hexyl-1H-imidazol-3-ium,CCCCCC[n+]1cc[n](c1)CCC#N
"1-but-1-enyl-2,3-dimethylimidazolium",CCCC[n+]1cc[n](c1(C))C
1-butyl-2-methylpyridinium,CCCC[n+]1ccc(cc1)C
trihexyltetradecylphosphonium,C[n+]1cc[nH]c1
1-ethyl-3-methyl-1H-imidazolium,CC[n+]1cn(cc1)C
1-(2-methoxyethyl)-1-methylpyrrolidinium,C[N+]1(CCCC1)CCOC
3-ethyl-1-methyl-1H-imidazolium,CCn1c[n+](cc1)C
1-butyl-3-methyl-1H-imidazolium,Cn1c[n+](cc1)CCC
1-methyl-3-octyl-1H-imidazolium,CCCCCCCC[n+]1cc[n](c1)C
3-methyl-1-undecyl-1H-imidazol-3-ium,CCCCCCCCCCC[n+]1ccn(c1)C
1-methyl-3-propylimidazolium,CCCn1cc[n+](c1)C
"N,N,N-triethyl-1-decanaminium",C(CCCCCCCC[N+](CC)(CC)CC)C
"N,N,N-triethyldodecan-1-aminium",CCCCCCCCCCCC[N+](CC)(CC)CC
"N,N,N-triethyltetradecan-1-aminium",CCCCCCCCCCCCCC[N+](CC)(CC)CC
N-methyl-2-hydroxyethylammonium,OCC[NH2+]C
butyltrimethylammonium,CCCC[N+](C)(C)C
tributylmethylammonium,CCCC[N+](C)(CCCC)CCCC
triethylsulfonium,CC[S+](CC)CC
diethylmethylsulfonium,[S+](C)(CC)(CC)
3-cyano-1-octylpyridinium,CCCCCCCC[n+]1cccc(c1)C#N
1-butyl-3-cyanopyridinium,CCCC[n+]1cccc(c1)C#N
2-butyl-1-ethylpyridin-1-ium,CCCC[n+]1ccccc1CC
"1,2-diethylpyridin-1-ium",CC[n+]1ccccc1CC
1-isobutyl-3-methylpyridinium,N#Cc1c(c(c([nH+]c1N)CC(C)C)C)c2ccccc2Cl
1-methyl-1-propylpiperidinium,CCC[N+]1(CCCCC1)C
tetrabutylphosphonium,CCCC[P+](CCCC)(CCCC)CCCC
1-ethyl-4-methylpyridinium,CC[n+]1ccc(cc1)C
"1,3-didecyl-1H-imidazol-3-ium",CCCCCCCCCCn1cc[n+](c1)CCCCCCCCCC
"1,2-dimethyl-3-propylimidazolium",CCCn1cc[n+](c1C)C
3-hexyl-1-methylimidazolium,CCCCCCn1cc[n+](c1)C
tributyl(dodecyl)phosphonium,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC
