"Heat capacity at constant pressure per unit volume, J/K/m<SUP>3</SUP>","Heat capacity at constant pressure, J/K/mol","Heat capacity at constant pressure<SUP>*</SUP>, J/K/mol","Pressure, kPa","Temperature, K",salt_name
,482.3,,101.325,298.1,"1-butyronitrile-2,3-dimethylimidazolium hexafluorophosphate"
,715,,101.325,298.1,"3-(3-cyanopropyl)-1,2-dimethylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,444.4,,101.325,298.1,"3-(3-cyanopropyl)-1,2-dimethylimidazolium cyanocyanamide"
,338.9,,101.325,298.1,"1-butyronitrile-2,3-dimethylimidazolium tetrafluoroborate"
,281.5,,101.325,298.1,"1-butyronitrile-2,3-dimethylimidazolium chloride"
,434.6,,101.325,298.1,1-(3-cyanopropyl)-3-methylimidazolium cyanocyanamide
,602,,101.325,298.1,"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,354.2,,101.325,298.1,1-butyronitrile-3-methylimidazolium hexafluorophosphate
,431.4,,101.325,298.1,1-butyronitrile-3-methylimidazolium tetrafluoroborate
,289.6,,101.325,298.1,3-(3-cyanopropyl)-1-methylimidazolium chloride
,456.2,,101.325,298.1,butyronitriletrimethylammonium bis(trifluoromethanesulfonyl)imide
,326.6,,101.325,298.1,Butyronitriletrimethylammonium hexafluorophosphate
,288.9,,101.325,298.1,Butyronitriletrimethylammonium tetrafluoroborate
,422.2,,101.325,298.1,N-butyronitrilepyridinium dicyanamide
,632,,101.325,298.1,N-butyronitrile pyridinium bis(trifluoromethanesulfonyl)imide
,420.7,,101.325,298.1,N-butyronitrile pyridinium hexafluorophosphate
,414.2,,101.325,298.1,N-butyronitrile pyridinium tetrafluoroborate
,222.8,,101.325,298.1,N-butyronitrile pyridinium chloride
,432,,101.325,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate
,498,,101.325,298.15,1-methyl-3-octylimidazolium tetrafluoroborate
,325.9,,101.325,298.15,1-benzyl-3-methylimidazolium tetrafluoroborate
,599,,101.325,298.15,1-benzyl-3-methyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide
,510,,101.325,298.15,"1-benzyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
,435,,101.325,298.15,"1-benzyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
,360.4,,101.325,298.15,1-benzyl-3-methylimidazolium hexafluorophosphate
,304.6,,101.325,298.15,1-benzyl-3-methylimidazolium tetrafluoroborate
,338.4,,101.325,298.15,1-benzyl-3-methyl-1H-imidazolium chloride
,569.1,,101.325,298.15,1-nonyl-3-methylimidazolium hexafluorophosphate
,411.6,,101.325,298.15,1-butyl-3-methylimidazolium hexafluorophosphate
,536.2,,101.325,298.15,1-octyl-3-methylimidazolium hexafluorophosphate
,500,,101.325,298.15,1-heptyl-3-methylimidazolium hexafluorophosphate
,468.6,,101.325,298.15,1-hexyl-3-methylimidazolium hexafluorophosphate
,436.8,,101.325,298.15,1-methyl-3-pentylimidazolium hexafluorophosphate
,578,,101.325,298.15,"1-butyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,566,,101.325,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,579,,101.325,298.15,1-isobutyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)imide
,608,,101.325,298.15,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide
,565,,101.325,298.15,1-isobutyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]amide
,582,,101.325,298.15,1-isobutyl-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)imide
,584,,101.325,298.15,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
,653,,101.325,298.15,1-ethyl-2-pentylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,594,,101.325,298.15,1-ethyl-2-propylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,566,,101.325,298.15,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide"
,811,,101.325,298.15,2-decyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,624,,101.325,298.15,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,686,,101.325,298.15,1-ethyl-2-hexylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,718,,101.325,298.15,1-ethyl-2-heptylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,749,,101.325,298.15,1-ethyl-2-octylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,778,,101.325,298.15,1-ethyl-2-nonylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,659.2,,101.325,298.15,1-heptyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
,690.2,,101.325,298.15,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,820.2,,101.325,298.15,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide
,754.5,,101.325,298.15,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
,504.8,,101.325,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,534.9,,101.325,298.15,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,565.9,,101.325,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,595.6,,101.325,298.15,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide
,629.4,,101.325,298.15,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,,84,101.325,365.8,"1-(cyanomethyl)-3-methylimidazolium 4,5-dicyano-2-(trifluoromethyl)imidazolide"
,842,,101.325,298.15,"N,N,N-triethyl-1-decanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,972,,101.325,298.15,"N,N,N-triethyltetradecan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
,151.3,,101.325,298.1,"1,3-propanediol, 2-amino-2-(hydroxymethyl)-, hydrochloride"
,310,,101.325,298,1-butyl-3-methylimidazolium iodide
,412,,101.325,298.15,1-ethyl-3-methylimidazolium dimethylphosphate
,281.4,,101.325,298.15,1-ethyl-3-methylimidazolium thiocyanate
,314.6,,101.325,298.15,1-ethyl-3-methylimidazolium dicyanamide
,363,,101.325,298.15,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
,321.9,,101.325,298.15,1-ethyl-3-methylimidazolium acetate
,346,,101.325,298.15,1-ethyl-3-methylimidazolium methanesulfonate
,298.1,,101.325,298.15,1-butyl-3-methylimidazolium tricyanomethane
,231.8,,101.325,298.15,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
,368,,101.325,298.15,1-butyl-3-methylpyridinium dicyanamide
,207.47,,101,298.15,ethylammonium nitrate
,70.3,,101.325,298.15,difluorogermylene
,444,,101.325,298.1,sodium dodecyl sulfate
,554,,101.325,338.1,sodium dodecyl sulfate
,468,,101.325,298,1-butyl-3-methylpyridinium tricyanomethanide
,479,,101.325,323,1-butyl-3-methylpyridinium tricyanomethanide
,524,,101.325,298.2,1-butyl-1-methylpyrrolidinium tetracyanoborate
,554,,101.325,323.2,1-butyl-1-methylpyrrolidinium tetracyanoborate
,495,,101.325,298.2,1-butyl-3-methylpyridinium tetracyanoborate
,524,,101.325,323.2,1-butyl-3-methylpyridinium tetracyanoborate
,323,,101.325,298.15,1-butyl-3-methylimidazolium chloride
,334,,101.325,323.15,1-butyl-3-methylimidazolium chloride
,524,,101.325,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,532,,101.325,323.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,536,,101.325,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
