"Density_kg/m, Experimental","Density_kg/m, Prediction",Salt Name,Temperature_K,Pressure_kPa
7.36226448727,7.35813593503,1-ethyl-3-methylimidazolium tetrafluoroborate,318.15,2000.0
7.12705143857,7.12528009027,1-ethyl-3-methylimidazolium hexafluorophosphate,452.5,80000.0
7.09240745111,7.09398462271,1-ethyl-3-methylimidazolium tetrafluoroborate,452.6,80000.0
7.10996115908,7.11012019429,1-ethyl-3-methylimidazolium methylsulfate,308.15,101.0
7.12719598321,7.10378987651,1-ethyl-3-methylimidazolium thiocyanate,333.15,101.325
7.28226621177,7.28864054076,1-ethyl-3-methylimidazolium ethyl sulfate,373.15,25000.0
7.0741168162,7.0729726922,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,303.15,100.0
7.12068686522,7.12443850292,1-ethyl-3-methylimidazolium tetrafluoroborate,313.2,190000.0
7.11801620447,7.1185945703,1-ethyl-3-methylimidazolium ethyl sulfate,308.15,101.325
7.05133600746,7.04901419451,1-ethyl-3-methylimidazolium methylsulfate,302.15,101.325
7.32574825133,7.32662912286,1-ethyl-3-methylimidazolium tetrafluoroborate,295.0,101.325
7.1600692076,7.15816100409,1-ethyl-3-methylimidazolium acetate,358.15,101.325
7.35946763826,7.31615492383,1-ethyl-3-methylimidazolium methylsulfate,326.15,101.325
7.11725416378,7.12004982521,1-ethyl-3-methylimidazolium acetate,313.15,101.0
7.16239749736,7.15691068279,1-ethyl-3-methylimidazolium ethyl sulfate,340.65,5000.0
7.11757850739,7.12151676892,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,323.27,101.325
7.21310534909,7.198924912,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,353.19,99944.0
7.1483457439,7.14954037659,1-ethyl-3-methylimidazolium ethyl sulfate,316.15,101.325
7.1713495559,7.16973289111,1-ethyl-3-methylimidazolium acetate,318.15,101.325
7.35135076245,7.34746834779,1-ethyl-3-methylimidazolium ethyl sulfate,293.15,101.325
7.11444419222,7.11742569085,1-ethyl-3-methylimidazolium ethyl sulfate,293.15,10000.0
7.13433292703,7.13258555632,1-ethyl-3-methylimidazolium acetate,348.15,101.0
7.01750614294,7.01968728682,1-ethyl-3-methylimidazolium ethyl sulfate,328.15,101.0
7.12413198677,7.12907888136,1-ethyl-3-methylimidazolium thiocyanate,293.15,101.325
7.00406495912,7.00492385546,1-ethyl-3-methylimidazolium tetrafluoroborate,308.15,12000.0
7.07097896008,7.0707003099,1-ethyl-3-methylimidazolium ethyl sulfate,278.15,101.325
7.29008822303,7.29519210795,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,333.15,5000.0
7.08590146437,7.08513524097,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,283.2,29957.0
7.1777824162,7.18314558754,1-ethyl-3-methylimidazolium ethyl sulfate,293.15,20000.0
7.17165682277,7.17759328812,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,393.15,15000.0
7.33856319476,7.33535796196,1-ethyl-3-methylimidazolium hexafluorophosphate,392.9,80000.0
7.13512986682,7.1335525419,1-ethyl-3-methylimidazolium ethyl sulfate,343.15,5000.0
6.99402471413,6.99338749921,1-ethyl-3-methylimidazolium acetate,313.15,101.0
7.13568734703,7.13466592363,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,101.0
7.12423668742,7.1276762968,1-ethyl-3-methylimidazolium tetrafluoroborate,332.6,130000.0
7.00470048504,7.0050762937,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,272.278,2655.9
7.09514729259,7.09459691319,1-ethyl-3-methylimidazolium ethyl sulfate,340.65,100.0
7.38150189451,7.35233157194,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,101.325
7.1089803662,7.11272095107,1-ethyl-3-methylimidazolium hexafluorophosphate,352.7,100000.0
7.01920720428,7.021609883,1-ethyl-3-methylimidazolium tetrafluoroborate,293.15,10000.0
