"Electrical conductivity, S/m","Frequency, MHz","Pressure, kPa","Temperature, K",salt_name
0.00019,,101.325,298.1,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(perfluoropropyl)borate"
0.00018,,101.325,298.1,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluoropropyl)borate Chemical Formula: C12H22BF10NO"
0.00026,,101.325,298.1,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluoropropyl)borate"
0.00025,,101.325,298.1,"2-methoxy-N,N,N-trimethylethan-1-aminium trifluoro(perfluoropropyl)borate"
0.00015,,101.325,298.1,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluorobutyl)borate"
0.00013,,101.325,298.1,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(perfluorobutyl)borate"
0.00011,,101.325,298.1,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluorobutyl)borate"
0.00017,,101.325,298.1,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium tetrafluoroborate"
0.00013,,101.325,298.1,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate"
0.00022,,101.325,298.1,"N,N-diethyl-N-methylpropan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
0.00016,,101.325,298.1,"N,N-diethyl-N-methylbutan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
0.00031,,101.325,298.1,"N-ethyl-N,N-dimethyl-2- methoxyethylammonium bis(trifluoromethylsulfonyl)imide"
0.00026,,101.325,298.1,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
0.00021,,101.325,298.1,"N,N,N-triethyl-2-methoxyethan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
0.00021,,101.325,298.1,"N,N-diethyl-N-methylbutan-1-aminium trifluoro(trifluoromethyl)borate"
0.00025,,101.325,298.1,"2-methoxy-N-ethyl-N,N-dimethylethan-1-aminium trifluoro(trifluoromethyl)borate"
0.0003,,101.325,298.1,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(trifluoromethyl)borate"
0.0002,,101.325,298.1,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(trifluoromethyl)borate"
0.00023,,101.325,298.1,"N,N-diethyl-N-methylbutan-1-aminium trifluoro(perfluoroethyl)borate"
0.00038,,101.325,298.1,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluoroethyl)borate"
0.00032,,101.325,298.1,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(perfluoroethyl)borate"
0.00024,,101.325,298.1,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluoroethyl)borate"
0.216,,101,298.15,1-pentylpyridinium bis(trifluoromethylsulfonyl)amide
1.438,,101.325,298.1,1-butyl-3-methylimidazolium dicyanamide
0.507,,101.325,298.1,N-butyronitrilepyridinium dicyanamide
0.218,,100,298.15,"1,1,3,3-tetramethylguanidinium imidazol-1-ide"
0.18,,101.325,298.15,1-allyl-3-methyl-1H-imidazol-3-ium propionate
0.088,,101.325,298.15,1-allyl-3-methylimizodalium lactate
0.1175,,101.325,298.15,1-allyl-3-methylimizodalium glycollate
0.821,,101.325,298.15,1-allyl-3-methylimizodalium formate
0.302,,101.325,298.15,1-allyl-3-methylimizodalium acetate
0.121,,101.325,298.15,1-allyl-3-methylimizodalium butanoate
0.0388,,101.325,298.15,1-allyl-3-methylimizodalium benzoate
0.021,,101,298.15,butylammonium acetate
0.867,,101,298.15,n-butylammonium nitrate
0.00695,,101,298.15,1-allyl-3-methylimidazolium chloride
0.398,,101.3,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
1.63,,101.3,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
0.00033,,101,300,tributyl(hexadecyl)phosphonium bromide
0.016,,101.325,298.1,tributylhexylammonium bis[(trifluoromethyl)sulfonyl]imide
0.0017,,101.325,298.1,"N,N,N-tributyloctan-1-aminium trifluoromethanesulfonate"
0.031,,101.325,298.1,ethylheptyl-di-(1-methylethyl)ammonium bis[(trifluoromethyl)sulfonyl]imide
0.013,,101.325,298.1,tributyloctylammonium bis[(trifluoromethyl)sulfonyl]imide
0.016,,101.325,298.1,tributylheptylammonium bis[(trifluoromethyl)sulfonyl]imide
0.051,,101.325,298.1,triethylheptylammonium bis[(trifluoromethyl)sulfonyl]imide
0.033,,101.325,298.1,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide
0.043,,101.325,298.1,hexyltrimethylammonium bis[(trifluoromethyl)sulfonyl]imide
0.04,,101.325,298.1,heptyltrimethylammonium bis[(trifluoromethyl)sulfonyl]imide
0.035,,101.325,298.1,trimethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide
