"Normal melting temperature, K",salt_name
384.71,"3,3'-(butane-1,4-diyl)bis(1-methyl-1H-imidazolium) hexafluorophosphate(V)"
436.05,(S)-1-cyclohexylethan-1-aminium (S)-2-methoxy-2-phenylacetate
439.45,(S)-1-cyclohexylethan-1-aminium (S)-2-methoxy-2-phenylacetate
460.55,(R)-1-cyclohexylethan-1-aminium (S)-2-methoxy-2-phenylacetate
361.6,hydroxylammonium perchlorate
341.35,"1-decyl-2,3-dimethylimidazolium bromide"
371.7,"1-hexadecyl-2,3-dimethylimidazolium bromide"
365.89,"1-butyl-2,3-dimethylimidazolium chloride"
349.66,"1-butyl-2,3-dimethylimidazolium bromide"
306.76,2-hydroxyethanaminium tetrafluoroborate
303.84,diethanolammonium tetrafluoroborate
345.26,tris(2-hydroxyethyl)ammonium tetrafluoroborate
347.58,1-decyl-3-methylimidazolium bromide
337.06,1-hexadecyl-3-methylimidazolium bromide
459.1,"N,N-diethyl-N-methylpropan-1-aminium tetrafluoroborate"
327.1,"N,N-diethyl-N-methylpropan-1-aminium trifluoro(perfluoroethyl)borate"
283.1,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(trifluoromethyl)borate"
251.2,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(trifluoromethyl)borate"
281.1,"2-methoxy-N-ethyl-N,N-dimethylethan-1-aminium trifluoro(trifluoromethyl)borate"
350.1,"2-methoxy-N,N,N-trimethylethan-1-aminium trifluoro(trifluoromethyl)borate"
270.1,"N,N-diethyl-N-methylbutan-1-aminium trifluoro(trifluoromethyl)borate"
368.1,"N,N-diethyl-N-methylpropan-1-aminium trifluoro(trifluoromethyl)borate"
293.1,"N,N,N-triethyl-2-methoxyethan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
310.1,"2-methoxy-N,N,N-trimethylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
282.1,"N,N-diethyl-N-methylbutan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
287.1,"N,N-diethyl-N-methylpropan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
329.1,"N,N,N-triethyl-2-methoxyethan-1-aminium tetrafluoroborate"
281.1,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate"
277.1,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium tetrafluoroborate"
327.1,"2-methoxy-N,N,N-trimethylethan-1-aminium tetrafluoroborate"
438.1,"N,N-diethyl-N-methylbutan-1-aminium tetrafluoroborate"
284.1,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluorobutyl)borate"
288.1,"N,N-diethyl-N-methylbutan-1-aminium trifluoro(perfluoroethyl)borate"
303.1,"2-methoxy-N,N,N-trimethylethan-1-aminium trifluoro(perfluoroethyl)borate"
240.2,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluoroethyl)borate"
276.1,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluoroethyl)borate"
330.1,"N,N-diethyl-N-methylpropan-1-aminium trifluoro(perfluoropropyl)borate"
323.1,"N,N-diethyl-N-methylbutan-1-aminium trifluoro(perfluoropropyl)borate"
296.1,"2-methoxy-N,N,N-trimethylethan-1-aminium trifluoro(perfluoropropyl)borate"
279.1,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluoropropyl)borate Chemical Formula: C12H22BF10NO"
327.1,"N,N-diethyl-N-methylpropan-1-aminium trifluoro(perfluorobutyl)borate"
333.1,"N,N-diethyl-N-methylbutan-1-aminium trifluoro(perfluorobutyl)borate"
323.1,"2-methoxy-N,N,N-trimethylethan-1-aminium trifluoro(perfluorobutyl)borate"
245.2,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluorobutyl)borate"
279.79,1-butylpyridinium tetrafluoroborate
334.05,Butyronitriletrimethylammonium tetrafluoroborate
374.15,N-butyronitrile pyridinium hexafluorophosphate
333.95,N-butyronitrile pyridinium tetrafluoroborate
342.35,N-butyronitrile pyridinium chloride
331.25,butyronitriletrimethylammonium bis(trifluoromethanesulfonyl)imide
345.15,1-butyronitrile-3-methylimidazolium hexafluorophosphate
363.45,3-(3-cyanopropyl)-1-methylimidazolium chloride
435.65,Butyronitriletrimethylammonium hexafluorophosphate
363.65,"1-butyronitrile-2,3-dimethylimidazolium hexafluorophosphate"
340,1-butyl-3-methylimidazolium chloride
453.94,4-methyl-4-propylmorpholinium bromide
484.47,4-butyl-4-methylmorpholinium bromide
467,4-methyl-4-pentylmorpholinium bromide
446.8,1-methyl-1-pentylpiperidinium bromide
321.3,1-octylquinolinium bis[(trifluoromethyl)sulfonyl]imide
