"Molar volume, m<SUP>3</SUP>/mol","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>","Specific volume, m<SUP>3</SUP>/kg","Temperature, K",salt_name,cation_name,anion_name,cation_SMILES,anion_SMILES,salt_SMILES
,101.325,1518.9,,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,1-ethyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](=C1)C C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
,101.325,891.8,,298.15,trihexyl(tetradecyl)phosphonium chloride,trihexyl(tetradecyl)phosphonium,chloride,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,[Cl-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC [Cl-]
,101.325,1102.0,,298.15,1-methyl-3-octylimidazolium tetrafluoroborate,1-methyl-3-octylimidazolium,tetrafluoroborate,CCCCCCCC[N+]1=CN(C=C1)C,[B-](F)(F)(F)F,CCCCCCCC[N+]1=CN(C=C1)C [B-](F)(F)(F)F
,101.325,1144.5,,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate,1-hexyl-3-methylimidazolium,tetrafluoroborate,CCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,CCCCCCN1C=C[N+](=C1)C [B-](F)(F)(F)F
,101.0,1146.7,,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate,1-hexyl-3-methylimidazolium,tetrafluoroborate,CCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,CCCCCCN1C=C[N+](=C1)C [B-](F)(F)(F)F
,101.325,1296.0,,293.1,1-ethyl-3-methylimidazolium tetrafluoroborate,1-ethyl-3-methylimidazolium,tetrafluoroborate,CCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,CCN1C=C[N+](=C1)C [B-](F)(F)(F)F
,101.325,1044.3,,298.15,1-hexyl-3-methylimidazolium chloride,1-hexyl-3-methylimidazolium,chloride,CCCCCCN1C=C[N+](=C1)C,[Cl-],CCCCCCN1C=C[N+](=C1)C [Cl-]
,101.325,1370.8,,298.15,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,1-hexyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
,101.325,1086.0,,298.15,1-allyl-3-methyl-1H-imidazol-3-ium propionate,1-allyl-3-methyl-1H-imidazol-3-ium,propionate,CN1CC[N+](C1)CC=C,CCC(=O)[O-],CN1CC[N+](C1)CC=C CCC(=O)[O-]
,101.325,1800.0,,298.15,ammonium dinitramide,ammonium,dinitramide,[NH4+],[N-]([N+](=O)[O-])[N+](=O)[O-],[NH4+] [N-]([N+](=O)[O-])[N+](=O)[O-]
,101.325,1143.9,,298.0,1-hexyl-3-methylimidazolium tetrafluoroborate,1-hexyl-3-methylimidazolium,tetrafluoroborate,CCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,CCCCCCN1C=C[N+](=C1)C [B-](F)(F)(F)F
,101.3,1279.0,,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate,1-ethyl-3-methylimidazolium,tetrafluoroborate,CCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,CCN1C=C[N+](=C1)C [B-](F)(F)(F)F
,101.3,1228.0,,298.15,1-ethyl-3-methylimidazolium ethyl sulfate,1-ethyl-3-methylimidazolium,ethyl sulfate,CCN1C=C[N+](=C1)C,CCOS(=O)(=O)[O-],CCN1C=C[N+](=C1)C CCOS(=O)(=O)[O-]
,101.325,1383.6,,298.15,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,1-ethyl-3-methylimidazolium,trifluoromethanesulfonate,CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-],CCN1C=C[N+](=C1)C C(F)(F)(F)S(=O)(=O)[O-]
,101.325,1383.6,,298.15,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,1-ethyl-3-methylimidazolium,trifluoromethanesulfonate,CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-],CCN1C=C[N+](=C1)C C(F)(F)(F)S(=O)(=O)[O-]
,101.325,1252.6,,333.1,1-ethyl-3-methylimidazolium tetrafluoroborate,1-ethyl-3-methylimidazolium,tetrafluoroborate,CCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,CCN1C=C[N+](=C1)C [B-](F)(F)(F)F
,101.325,1068.9,,293.15,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,trihexyl(tetradecyl)phosphonium,bis[(trifluoromethyl)sulfonyl]imide,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
,101.0,1101.9,,298.15,1-ethyl-3-methylimidazolium dicyanamide,1-ethyl-3-methylimidazolium,dicyanamide,CCN1C=C[N+](=C1)C,C(#N)[N-]C#N,CCN1C=C[N+](=C1)C C(#N)[N-]C#N
,101.0,1280.4,,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate,1-ethyl-3-methylimidazolium,tetrafluoroborate,CCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,CCN1C=C[N+](=C1)C [B-](F)(F)(F)F
,101.0,1283.7,,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate,1-ethyl-3-methylimidazolium,tetrafluoroborate,CCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,CCN1C=C[N+](=C1)C [B-](F)(F)(F)F
,101.0,1146.3,,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate,1-hexyl-3-methylimidazolium,tetrafluoroborate,CCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,CCCCCCN1C=C[N+](=C1)C [B-](F)(F)(F)F
,101.325,1009.6,,298.15,1-methyl-3-octylimidazolium chloride,1-methyl-3-octylimidazolium,chloride,CCCCCCCC[N+]1=CN(C=C1)C,[Cl-],CCCCCCCC[N+]1=CN(C=C1)C [Cl-]
,101.325,1373.0,,297.0,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,1-hexyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
,101.325,1450.0,,297.0,1-hexyl-3-methylimidazolium bis(perfluoroethylsulfonyl)imide,1-hexyl-3-methylimidazolium,bis(perfluoroethylsulfonyl)imide,CCCCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,CCCCCCN1C=C[N+](=C1)C C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F
,101.325,1155.0,,297.0,1-hexyl-3-methylimidazolium tetrafluoroborate,1-hexyl-3-methylimidazolium,tetrafluoroborate,CCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,CCCCCCN1C=C[N+](=C1)C [B-](F)(F)(F)F
,101.325,1279.0,,297.0,1-ethyl-3-methylimidazolium tetrafluoroborate,1-ethyl-3-methylimidazolium,tetrafluoroborate,CCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,CCN1C=C[N+](=C1)C [B-](F)(F)(F)F
