"Pressure, kPa","Temperature, K","Thermal conductivity, W/m/K",salt_name
101.325,311.1,0.13,"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide"
101,298.15,0.238,"1,3-dimethylimidazolium dimethylphosphate"
101.325,300,0.13,"4-(dimethylamino)-1-hexyl-pyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
101.325,375,0.13,"4-(dimethylamino)-1-hexyl-pyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
101.325,300,0.12,"1-hexyl-3-methyl-4-(dimethylamino)pyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
101.325,375,0.12,"1-hexyl-3-methyl-4-(dimethylamino)pyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
101.325,300,0.13,"n-butyl-4-(n',n'-dimethylammonium)pyridinium bis(trifluoromethylsulfonyl)imid"
101.325,375,0.13,"n-butyl-4-(n',n'-dimethylammonium)pyridinium bis(trifluoromethylsulfonyl)imid"
101.325,300,0.12,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
101.325,375,0.12,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
101.325,300,0.17,1-ethyl-3-methylimidazolium trifluoroacetate
101.325,375,0.17,1-ethyl-3-methylimidazolium trifluoroacetate
101.325,300,0.21,1-ethyl-3-methylimidazolium thiocyanate
101.325,375,0.21,1-ethyl-3-methylimidazolium thiocyanate
101.325,300,0.16,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
101.325,375,0.16,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
101.325,300,0.21,1-ethyl-3-methylimidazolium methanesulfonate
101.325,375,0.21,1-ethyl-3-methylimidazolium methanesulfonate
101.325,300,0.19,1-ethyl-3-methylimidazolium diethylphosphate
101.325,375,0.19,1-ethyl-3-methylimidazolium diethylphosphate
101.325,300,0.19,1-ethyl-3-methylimidazolium diethylphosphate
101.325,375,0.19,1-ethyl-3-methylimidazolium diethylphosphate
101.325,293,0.125,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
101.325,303,0.125,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
101.325,313,0.124,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
101.325,323,0.124,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
101.325,298.15,0.126,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
101.325,303.15,0.13,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
101.325,308.15,0.13,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
101.325,313.15,0.13,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
101.325,293,0.118,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
101.325,303,0.118,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
101.325,313,0.118,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
101.325,323,0.117,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
101.325,333,0.117,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
101.325,313.15,0.157,tetrabutylphosphonium L-valinate
101.325,323.15,0.156,tetrabutylphosphonium L-valinate
101.325,333.15,0.155,tetrabutylphosphonium L-valinate
101.325,343.15,0.154,tetrabutylphosphonium L-valinate
101.325,353.15,0.153,tetrabutylphosphonium L-valinate
101.325,293.6,0.167,1-butyl-3-methylimidazolium dicyanamide
101.325,303.3,0.166,1-butyl-3-methylimidazolium dicyanamide
101.325,313.4,0.163,1-butyl-3-methylimidazolium dicyanamide
101.325,323.5,0.163,1-butyl-3-methylimidazolium dicyanamide
101.325,333.7,0.153,1-butyl-3-methylimidazolium dicyanamide
101.325,344.2,0.15,1-butyl-3-methylimidazolium dicyanamide
101.325,293.4,0.183,1-ethyl-3-methylimidazolium dicyanamide
101.325,303.3,0.179,1-ethyl-3-methylimidazolium dicyanamide
101.325,313.1,0.178,1-ethyl-3-methylimidazolium dicyanamide
101.325,323,0.181,1-ethyl-3-methylimidazolium dicyanamide
101.325,333.2,0.17,1-ethyl-3-methylimidazolium dicyanamide
101.325,343.4,0.165,1-ethyl-3-methylimidazolium dicyanamide
101.325,293.5,0.155,1-butyl-1-methylpyrrolidinium dicyanamide
101.325,303.2,0.155,1-butyl-1-methylpyrrolidinium dicyanamide
101.325,313.3,0.153,1-butyl-1-methylpyrrolidinium dicyanamide
101.325,323.3,0.151,1-butyl-1-methylpyrrolidinium dicyanamide
101.325,333.2,0.147,1-butyl-1-methylpyrrolidinium dicyanamide
101.325,343.4,0.142,1-butyl-1-methylpyrrolidinium dicyanamide
101.325,293,0.158,1-hexyl-3-methylimidazolium tetrafluoroborate
101.325,303,0.157,1-hexyl-3-methylimidazolium tetrafluoroborate
101.325,313,0.156,1-hexyl-3-methylimidazolium tetrafluoroborate
101.325,323,0.155,1-hexyl-3-methylimidazolium tetrafluoroborate
101.325,333,0.153,1-hexyl-3-methylimidazolium tetrafluoroborate
101.325,343,0.152,1-hexyl-3-methylimidazolium tetrafluoroborate
