"Kinematic viscosity, m<SUP>2</SUP>/s","Pressure, kPa","Temperature, K","Viscosity, Pa&#8226;s",salt_name
,101,298.15,0.1954,1-hexyl-3-methylimidazolium tetrafluoroborate
,101.325,298.1,0.088,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(perfluoropropyl)borate"
,101.325,298.1,0.091,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluoropropyl)borate Chemical Formula: C12H22BF10NO"
,101.325,298.1,0.07,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluoropropyl)borate"
,101.325,298.1,0.076,"2-methoxy-N,N,N-trimethylethan-1-aminium trifluoro(perfluoropropyl)borate"
,101.325,298.1,0.087,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluoroethyl)borate"
,101.325,298.1,0.068,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(perfluoroethyl)borate"
,101.325,298.1,0.058,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluoroethyl)borate"
,101.325,298.1,0.104,"N,N-diethyl-N-methylbutan-1-aminium trifluoro(perfluoroethyl)borate"
,101.325,298.1,0.151,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(trifluoromethyl)borate"
,101.325,298.1,0.102,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium trifluoro(perfluorobutyl)borate"
,101.325,298.1,0.118,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(perfluorobutyl)borate"
,101.325,298.1,0.135,"N,N,N-triethyl-2-methoxyethan-1-aminium trifluoro(perfluorobutyl)borate"
,101.325,298.1,0.335,"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium tetrafluoroborate"
,101.325,298.1,0.426,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium tetrafluoroborate"
,101.325,298.1,0.094,"N,N-diethyl-N-methylpropan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
,101.325,298.1,0.12,"N,N-diethyl-N-methylbutan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
,101.325,298.1,0.06,"N-ethyl-N,N-dimethyl-2- methoxyethylammonium bis(trifluoromethylsulfonyl)imide"
,101.325,298.1,0.069,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
,101.325,298.1,0.085,"N,N,N-triethyl-2-methoxyethan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
,101.325,298.1,0.21,"N,N-diethyl-N-methylbutan-1-aminium trifluoro(trifluoromethyl)borate"
,101.325,298.1,0.097,"2-methoxy-N-ethyl-N,N-dimethylethan-1-aminium trifluoro(trifluoromethyl)borate"
,101.325,298.1,0.108,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(trifluoromethyl)borate"
,101.325,298.15,0.37,"3-(3-cyanopropyl)-1,2-dimethylimidazolium cyanocyanamide"
,101.325,298.15,0.352,1-butyronitrile-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.044,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,101.325,298.15,0.173,1-butyl-3-methylimidazolium hexafluorophosphate
,101.325,298.15,0.219,1-butyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.152,N-butyronitrilepyridinium dicyanamide
,101.325,298.15,0.409,N-butyronitrile pyridinium bis(trifluoromethanesulfonyl)imide
,101.325,298.15,0.212,1-butyl-3-methylimidazolium hexafluorophosphate
,101.325,298.15,0.0685,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.2,1.2,2-aminoethanol-2-hydroxypropanoate
,101,298.15,0.82,1-allyl-3-methylimidazolium chloride
,101.3,298.15,0.27,1-butyl-3-methylimidazolium hexafluorophosphate
,101.325,298.15,0.11,1-butyl-3-methylimidazolium tetrafluoroborate
,101.325,298,0.1198,1-butyl-3-methylimidazolium tetrafluoroborate
,101.325,298,0.03607,1-ethyl-3-methylimidazolium tetrafluoroborate
,101.325,298,0.0901,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
,101,298.15,0.235,triethylammonium hydrogen sulfate
,101,298.15,0.0241,triethylammonium acetate
,101,298.15,0.0341,diethylammonium hydrogen sulfate
,101,298.15,0.0164,diethylammonium acetate
,101,298.15,0.00276,trimethylammonium acetate
,101,298.15,0.0051,trimethylammonium hydrogen sulfate
,101.325,313.15,0.1042,1-butyl-3-methylimidazolium methyl sulfate
,101.325,313.15,0.275,1-methyl-3-octylimidazolium ethyl sulfate
,101.325,313.15,0.181,1-methyl-3-octylimidazolium methyl sulfate
,100,293.15,0.395,1-butyl-3-methylimidazolium hexafluorophosphate
,101,298.15,0.1103,1-butyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.362,ethylheptyl-di-(1-methylethyl)ammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,2.03,"N,N,N-tributyloctan-1-aminium trifluoromethanesulfonate"
,101.325,298.15,0.153,hexyltrimethylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.574,tributyloctylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.606,tributylheptylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.595,tributylhexylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.202,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.0755,triethylheptylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.153,heptyltrimethylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.181,trimethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide
,101.325,298.15,0.167,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide
,101,298.1,0.0368,1-ethyl-3-methylimidazolium tetrafluoroborate
,101,298.1,0.0174,1-ethyl-3-methylimidazolium dicyanamide
,101.325,313,0.0054,"1,1,3,3-tetramethylguanidinium imidazol-1-ide"
,101.325,293.15,1.238,1-methyl-3-octylimidazolium nitrate
,101.325,318.15,0.067,1-butyl-3-methylimidazolium nitrate
,101.325,293.15,0.0665,1-ethyl-3-methylimidazolium tetrafluoroborate
,101.325,293.15,0.154,1-butyl-3-methylimidazolium tetrafluoroborate
,100,298.15,0.438,tetradecyl(trihexyl)phosphonium dicyanamide
,101.325,298.15,0.1014,1-ethyl-3-methylimidazolium ethyl sulfate
,101.325,363.15,0.171,tetrabutylammonium perfluorobutanesulfonate
,101.325,313.15,0.138,1-methyl-3-hexylimidazolium perfluorobutanesulfonate
,101.325,313.15,0.14,1-methyl-3-hexylimidazolium perfluorobutanesulfonate
,101.325,363.15,0.165,tetrabutylammonium perfluorobutanesulfonate
,101.325,298.15,0.037,1-ethyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.103,1-propyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.1024,1-butyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,4,3-hexyl-1-methyl-1H-imidazolium bromide
,101.325,298.15,0.175,1-hexyl-3-methylimidazolium tetrafluoroborate
,101.325,298.15,0.331,1-methyl-3-octylimidazolium tetrafluoroborate
,101.325,298.15,5.068,1-methyl-3-octylimidazolium bromide
,101.325,293,1.296,1-methyl-3-(3-sulfopropyl)-imidazolium hydrogensulfate
,101.325,293,1.592,1-butyl-3-(4-sulfobutyl)-imidazolium hydrogensulfate
