Density (kg/m Experimental),Temperature (K),Pressure (kPa),Salt Name,Prediction for alpha of 1.0,Prediction for alpha of 0.9,Prediction for alpha of 0.8,Prediction for alpha of 0.7,Prediction for alpha of 0.6,Prediction for alpha of 0.5,Prediction for alpha of 0.4,Prediction for alpha of 0.3,Prediction for alpha of 0.2,Prediction for alpha of 0.1
7.09804500543,340.15,101.325,1-ethyl-3-methylimidazolium ethyl sulfate,7.10204812129,7.1011029161,7.10343908906,7.10594419046,7.10713897831,7.10781271018,7.10848644206,7.10915981809,7.107755626,7.10557671948
7.00977020439,293.15,101.325,1-ethyl-3-methylimidazolium dicyanamide,7.07882841807,7.07384362308,7.06953550582,7.06526222457,7.06408805658,7.06730443853,7.07052082048,7.07373690792,7.06931950159,7.05809607982
7.2207395343,327.15,31480.0,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,7.22880505414,7.23094433604,7.22981919575,7.22852599993,7.22728531836,7.22708654463,7.22688777089,7.22668942242,7.22525514389,7.22287317388
7.21435723629,313.15,101.325,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,7.21793574669,7.22031735692,7.21955277649,7.2186262272,7.21780762995,7.21789060323,7.21797357651,7.21805697349,7.2174055559,7.21618433504
7.11999964943,300.66,101.325,1-ethyl-3-methylimidazolium ethyl sulfate,7.10204812129,7.1011029161,7.10343908906,7.10594419046,7.10960626976,7.11370747313,7.11780867651,7.12190950512,7.12360346106,7.12417899828
7.32778053842,313.15,25000.0,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,7.22657303181,7.22876229308,7.23651759434,7.24455944059,7.25294526314,7.26109004094,7.26923481875,7.2773789879,7.28780257461,7.30038973803
7.29835037442,338.15,101.0,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,7.21794822894,7.2203297779,7.22837118366,7.23670396418,7.24316866002,7.24840298044,7.25363730085,7.25887102868,7.26708292025,7.27807252065
6.98212036094,353.15,101.325,1-methyl-3-octylimidazolium tetrafluoroborate,7.0574724561,7.05955268951,7.05350644926,7.04704185048,7.03763269025,7.0252585523,7.01288441435,7.00051151987,6.99248630719,6.9876670603
7.21398919683,313.15,101.325,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,7.21793574669,7.22031735692,7.21955277649,7.2186262272,7.21780762995,7.21789060323,7.21797357651,7.21805697349,7.2174055559,7.21618433504
7.34284391216,303.18,253.0,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,7.35915747785,7.35844935037,7.35253950162,7.34636186334,7.34286572527,7.3398225082,7.33677929112,7.33373690099,7.32801224735,7.31979397029
7.14393350857,323.15,10000.0,1-ethyl-3-methylimidazolium tetrafluoroborate,7.06093915475,7.06294275176,7.06998770521,7.07729219245,7.0831641387,7.08466685233,7.08616956597,7.08767196515,7.09833204837,7.11647271955
7.25446069188,265.067,1265.2,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,7.12026775408,7.12050272232,7.12480890631,7.12932468033,7.13687831685,7.14492767434,7.15297703182,7.16102595234,7.17449006724,7.18902860181
7.10578612948,432.8,40000.0,1-hexyl-3-methylimidazolium hexafluorophosphate,7.1535795633,7.15368374881,7.15429700863,7.15493647607,7.15030536191,7.14348383456,7.13666230722,7.12984076601,7.12411727322,7.11945132541
7.17678955706,393.15,25000.0,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,7.12848928793,7.12854095924,7.1325744161,7.13681285904,7.13670637307,7.13434496417,7.13198355528,7.12962176685,7.13327589953,7.13874123065
7.09190849061,347.48,101.325,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,7.1198520028,7.12009602308,7.11560959826,7.11087964564,7.10442215089,7.0979627922,7.09150343351,7.08504470577,7.08120682782,7.07604927594
7.01202520016,288.15,101.325,1-methyl-3-octylimidazolium tetrafluoroborate,7.0574724561,7.05955268951,7.05350644926,7.04704185048,7.04169381824,7.0349612515,7.02822868477,7.02149733039,7.01857162699,7.01828615683
6.78241878767,323.14,10000.0,trihexyl(tetradecyl)phosphonium chloride,6.78510298248,6.78223138413,6.77734086808,6.77234641624,6.76697344221,6.76299018896,6.75900693572,6.75502339946,6.75070344441,6.74487837299
7.26822302116,352.7,20000.0,1-ethyl-3-methylimidazolium hexafluorophosphate,7.14666432739,7.14692290328,7.15657195758,7.16670444257,7.17563466872,7.18249158364,7.18934849856,7.19620433625,7.20738858139,7.22238165339
7.13001844287,283.15,5000.0,1-ethyl-3-methylimidazolium ethyl sulfate,7.10374498085,7.10276194462,7.10504182886,7.10748969132,7.11231643672,7.11808310398,7.12384977124,7.12961605455,7.13273299325,7.13450109706
7.0386080874,373.14,89993.0,1-hexyl-3-methylimidazolium tetrafluoroborate,7.08863545812,7.09002135634,7.08734115964,7.08445163654,7.07950884801,7.07173096427,7.06395308053,7.05617592143,7.05289371215,7.05312329281
7.10881680715,333.15,10000.0,1-ethyl-3-methylimidazolium ethyl sulfate,7.10547693853,7.10445528877,7.10667771999,7.10906715958,7.11084208262,7.11241780502,7.11399352742,7.115568889,7.11481340044,7.11306462562
7.04577657688,343.15,2000.0,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,7.09290637147,7.09353605444,7.09465232343,7.09579364233,7.09538673449,7.0922234443,7.08906015412,7.08589663294,7.08401017345,7.08336223638
