,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>","Temperature, K"
0,101.325,1296.0,293.1
1,101.3,1279.0,298.15
2,101.325,1252.6,333.1
3,101.0,1280.4,298.15
4,101.0,1283.7,298.15
5,101.325,1279.0,297.0
6,101.325,1279.9,298.15
7,101.325,1279.9,298.15
8,101.325,1279.9,298.1
9,101.325,1280.0,298.1
10,101.0,1280.4,298.15
11,101.0,1283.7,298.15
12,101.325,1284.4,293.15
13,101.325,1269.1,313.15
14,101.325,1254.0,333.15
15,101.325,1239.3,353.15
16,101.3,1277.6,298.15
17,101.3,1269.9,308.15
18,101.3,1262.1,318.15
19,101.3,1254.6,328.15
20,101.325,1283.9,293.15
21,101.325,1279.9,298.15
22,101.325,1276.3,303.15
23,101.325,1272.1,308.15
24,101.325,1283.9,293.15
25,101.325,1280.0,298.15
26,101.325,1276.3,303.15
27,101.325,1272.1,308.15
28,101.325,1283.9,293.15
29,101.325,1280.0,298.15
30,101.325,1276.3,303.15
31,101.325,1272.1,308.15
32,101.325,1283.9,293.15
33,101.325,1279.9,298.15
34,101.325,1276.3,303.15
35,101.325,1272.1,308.15
36,101.325,1283.9,293.15
37,101.325,1279.9,298.15
38,101.325,1276.3,303.15
39,101.325,1272.1,308.15
40,101.325,1283.9,293.15
41,101.325,1280.0,298.15
42,101.325,1276.3,303.15
43,101.325,1272.1,308.15
44,101.325,1283.9,293.15
45,101.325,1279.9,298.15
46,101.325,1276.3,303.15
47,101.325,1272.1,308.15
48,101.325,1283.9,293.15
49,101.325,1279.9,298.15
50,101.325,1276.3,303.15
51,101.325,1272.1,308.15
52,101.325,1283.9,293.15
53,101.325,1279.9,298.15
54,101.325,1276.3,303.15
55,101.325,1272.1,308.15
56,101.325,1283.9,293.15
57,101.325,1279.9,298.15
58,101.325,1276.3,303.15
59,101.325,1272.1,308.15
60,101.325,1283.9,293.15
61,101.325,1279.9,298.15
62,101.325,1276.3,303.15
63,101.325,1272.1,308.15
64,101.0,1283.9,293.15
65,101.0,1279.9,298.15
66,101.0,1276.3,303.15
67,101.0,1272.1,308.15
