smiles-cation,smiles-anion,"Specific density, kg/m<SUP>3</SUP>_mean","Heat capacity at constant pressure, J/K/mol_mean","Specific density, kg/m<SUP>3</SUP>_std","Heat capacity at constant pressure, J/K/mol_std",count,name-cation,name-anion,category
C1=C[N+](C)=CN1CCCCCCCCCC,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1237.4499999999998,820.1999999999998,10.253048327204938,0.0,2,1-dodecyl-3-methyl-1H-imidazolium,bis(trifluoromethylsulfonyl)amide,Imidazolium
CCCCCCCCCCCC[N+](CC)(CC)CC,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1187.7,904.9999999999997,,,1,"N,N,N-triethyldodecan-1-aminium",bis((trifluoromethyl)sulfonyl)amide,Aminium
CCCCCCCCCCn1cc[n+](c1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1278.3500000000004,754.65,0.057735026918822555,0.1732050807566372,4,1-decyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)amide,Imidazolium
CCCCCCCC[n+]1ccc2ccccc2c1,C(#N)[S-],1061.7000000000003,522.0000000000002,0.0,0.0,2,2-octylisoquinolinium,thiocyanate,Quinolinium
CCCCCCCC[n+]1cccc(c1)C,[B-](F)(F)(F)F,1094.5,450.00000000000006,0.0,0.0,2,N-octyl-3-methylpyridinium,tetrafluoroborate,Pyridinium
CCCCCCCC[n+]1cccc(c1)C#N,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1355.0999999999995,709.0,,,1,3-cyano-1-octylpyridinium,"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",Pyridinium
CCCCCCCCn1cc[n+](c1)C,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1319.9861538461535,690.1999999999999,3.3070040279724155,0.0,13,1-octyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,Imidazolium
CCCCCCCCn1cc[n+](c1)C,F[P-](F)(F)(F)(F)F,1234.4727272727273,536.1999999999998,5.349783343106734,0.0,11,1-octyl-3-methylimidazolium,hexafluorophosphate,Imidazolium
CCCCCCCCn1cc[n+](c1)C,[B-](F)(F)(F)F,1105.5666666666668,497.89999999999964,5.308895159644145,0.1017095255430306,30,1-methyl-3-octylimidazolium,tetrafluoroborate,Imidazolium
CCCCCC[n+]1ccc(C#N)cc1,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1407.0999999999995,632.9999999999998,,,1,1-hexyl-4-cyanopyridinium,bis(trifluoromethylsulfonyl)imide,Pyridinium
CCCCCC[n+]1cccc(C#N)c1,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1408.8999999999994,658.0,,,1,3-cyano-1-hexylpyridinium,"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",Pyridinium
CCCCCCn1cc[n+](c1)C,C(#N)[N-]C#N,1028.6333333333334,534.0000000000001,0.20655911179754102,0.0,6,1-hexyl-3-methylimidazolium,dicyanamide,Imidazolium
CCCCCCn1cc[n+](c1)C,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,1550.9500000000005,730.0,1.202081528017002,0.0,2,1-hexyl-3-methylimidazolium,tris(pentafluoroethyl)trifluorophosphate,Imidazolium
CCCCCCn1cc[n+](c1)C,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1371.5266666666669,621.0499999999988,1.4957959778914496,15.718626964364947,108,1-hexyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,Imidazolium
CCCCCCn1cc[n+](c1)C,F[P-](F)(F)(F)(F)F,1291.8626666666667,446.3000000000001,4.115368113868461,22.68122419611617,30,1-hexyl-3-methylimidazolium,hexafluorophosphate,Imidazolium
CCCCCCn1cc[n+](c1)C,[B-](F)(F)(F)F,1145.8846666666668,429.1999999999997,1.3494992337228526,2.002271437415818,45,1-hexyl-3-methylimidazolium,tetrafluoroborate,Imidazolium
CCCC[N+](C)(CCCC)CCCC,C(CCN)C[C@@H](C(=O)[O-])N,979.7,824.0000000000003,,,1,"N,N-dibutyl-N-methyl-1-butanaminium",L-lysinate,Aminium
